l_elbow_min,l_elbow_max,l_elbow_mean,l_elbow_std,r_elbow_min,r_elbow_max,r_elbow_mean,r_elbow_std,l_shoulder_min,l_shoulder_max,l_shoulder_mean,l_shoulder_std,r_shoulder_min,r_shoulder_max,r_shoulder_mean,r_shoulder_std,l_hip_min,l_hip_max,l_hip_mean,l_hip_std,r_hip_min,r_hip_max,r_hip_mean,r_hip_std,l_knee_min,l_knee_max,l_knee_mean,l_knee_std,r_knee_min,r_knee_max,r_knee_mean,r_knee_std,sym_elbow,sym_shoulder,sym_hip,sym_knee,rom,max_speed,phase_ratio,duration,label
44.04085159301758,179.31137084960938,111.97705078125,50.356361389160156,0.0,180.0,90.0,0.0,13.529606819152832,24.557716369628906,19.64235496520996,3.1967642307281494,0.0,180.0,90.0,0.0,151.13931274414062,155.34552001953125,153.47052001953125,1.1957896947860718,170.28414916992188,173.2711944580078,171.8781280517578,1.1193500757217407,156.5367431640625,160.35748291015625,158.41961669921875,0.9951016902923584,0.0,180.0,90.0,0.0,0.0,0.0,19.586763381958008,0.0,135.27052307128906,59.12861251831055,0.5,0.4333333373069763,wrong
0.0,180.0,90.0,0.0,65.34265899658203,161.50865173339844,106.45661926269531,31.227426528930664,0.0,180.0,90.0,0.0,8.95969009399414,14.760137557983398,11.57224178314209,1.2040338516235352,0.0,180.0,90.0,0.0,159.12765502929688,167.23130798339844,162.54359436035156,1.6940115690231323,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.38333332538604736,correct
18.687063217163086,160.9231719970703,73.73534393310547,40.24917221069336,0.0,180.0,90.0,0.0,12.624839782714844,28.9666805267334,15.850752830505371,3.687758445739746,0.0,180.0,90.0,0.0,164.3263702392578,178.47125244140625,169.41221618652344,3.403668165206909,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,0.0,0.0,0.0,142.23611450195312,108.53693389892578,0.5,0.36666667461395264,correct
0.0,180.0,90.0,0.0,87.2490463256836,178.09561157226562,142.36550903320312,34.15253829956055,0.0,180.0,90.0,0.0,2.9783334732055664,7.863620281219482,5.737433433532715,1.325949788093567,146.7195587158203,161.677001953125,154.6953887939453,5.6688408851623535,147.43739318847656,158.2866668701172,152.97122192382812,3.6740894317626953,163.4540557861328,173.1923828125,169.03062438964844,3.6915862560272217,161.07740783691406,170.63583374023438,165.93881225585938,3.2106635570526123,0.0,0.0,2.072916269302368,2.524104595184326,0.0,0.0,0.5,0.3499999940395355,correct
0.0,180.0,90.0,0.0,57.82211685180664,175.50201416015625,137.9964599609375,46.38064956665039,0.0,180.0,90.0,0.0,6.713253498077393,27.655717849731445,14.094257354736328,7.512077808380127,0.0,180.0,90.0,0.0,158.6356201171875,161.3204345703125,159.61427307128906,0.7400736808776855,0.0,180.0,90.0,0.0,162.12741088867188,165.82276916503906,164.29368591308594,0.9780356884002686,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3499999940395355,correct
0.0,180.0,90.0,0.0,47.031253814697266,174.2261199951172,120.12396240234375,48.49998092651367,0.0,180.0,90.0,0.0,6.575620174407959,15.063529014587402,9.572891235351562,2.894592761993408,0.0,180.0,90.0,0.0,156.97789001464844,160.6104736328125,159.00526428222656,1.302860140800476,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5333333611488342,wrong
0.0,180.0,90.0,0.0,55.954708099365234,175.28237915039062,134.9656524658203,48.51557922363281,0.0,180.0,90.0,0.0,7.075206756591797,28.999311447143555,14.735198974609375,7.457740783691406,0.0,180.0,90.0,0.0,158.81597900390625,161.55613708496094,160.09507751464844,0.7116263508796692,0.0,180.0,90.0,0.0,159.21836853027344,166.00013732910156,164.35345458984375,1.710131049156189,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3499999940395355,correct
0.0,180.0,90.0,0.0,46.431495666503906,174.61126708984375,121.13410186767578,48.38797378540039,0.0,180.0,90.0,0.0,6.804306507110596,15.687665939331055,9.652612686157227,3.1123201847076416,0.0,180.0,90.0,0.0,157.1817626953125,160.51434326171875,158.84901428222656,1.0408577919006348,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.550000011920929,wrong
0.0,180.0,90.0,0.0,44.68898391723633,177.41941833496094,119.9151382446289,48.66438293457031,0.0,180.0,90.0,0.0,6.456721782684326,13.599068641662598,9.708447456359863,2.3873443603515625,0.0,180.0,90.0,0.0,157.1321563720703,160.70608520507812,159.0157928466797,0.9998410940170288,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,wrong
0.0,180.0,90.0,0.0,43.17545700073242,176.8386688232422,118.95264434814453,52.61662292480469,0.0,180.0,90.0,0.0,5.714183807373047,11.686805725097656,8.388219833374023,1.838502049446106,0.0,180.0,90.0,0.0,158.5166778564453,161.57476806640625,159.94081115722656,0.7087685465812683,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4166666567325592,correct
