l_elbow_min,l_elbow_max,l_elbow_mean,l_elbow_std,r_elbow_min,r_elbow_max,r_elbow_mean,r_elbow_std,l_shoulder_min,l_shoulder_max,l_shoulder_mean,l_shoulder_std,r_shoulder_min,r_shoulder_max,r_shoulder_mean,r_shoulder_std,l_hip_min,l_hip_max,l_hip_mean,l_hip_std,r_hip_min,r_hip_max,r_hip_mean,r_hip_std,l_knee_min,l_knee_max,l_knee_mean,l_knee_std,r_knee_min,r_knee_max,r_knee_mean,r_knee_std,sym_elbow,sym_shoulder,sym_hip,sym_knee,rom,max_speed,phase_ratio,duration,label
154.46241760253906,177.96461486816406,168.05062866210938,5.244451522827148,148.82183837890625,177.996826171875,167.3706512451172,5.991021633148193,8.61380386352539,114.34353637695312,55.837310791015625,35.51210403442383,10.973262786865234,111.67572021484375,59.700355529785156,36.07513427734375,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,4.37985372543335,4.87224817276001,0.0,0.0,23.502199172973633,23.219635009765625,0.47826087474823,0.38333332538604736,correct
155.44688415527344,179.8465576171875,167.8315887451172,7.201857566833496,160.27601623535156,179.10594177246094,165.8963623046875,5.75066614151001,11.109057426452637,110.34805297851562,49.72797775268555,33.509761810302734,11.392534255981445,117.61591339111328,54.08240509033203,37.408424377441406,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,6.618588924407959,6.026470184326172,0.0,0.0,24.39966583251953,24.39966583251953,0.4736842215061188,0.3166666626930237,correct
155.30343627929688,179.60488891601562,165.04600524902344,6.182000637054443,162.88516235351562,178.5977020263672,169.82249450683594,4.66330099105835,13.14195728302002,114.66692352294922,53.74543762207031,35.61042404174805,11.309115409851074,116.00952911376953,54.58370590209961,38.074806213378906,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,5.342895984649658,3.3986873626708984,0.0,0.0,24.301454544067383,18.365461349487305,0.5,0.30000001192092896,correct
156.0186309814453,179.537109375,166.44635009765625,6.987602710723877,159.91481018066406,176.8914031982422,170.4418182373047,4.485692501068115,11.669090270996094,104.96422576904297,49.15625762939453,32.460105895996094,9.796696662902832,117.11140441894531,54.88250732421875,39.85551071166992,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,6.415228366851807,7.344356060028076,0.0,0.0,23.518478393554688,13.426420211791992,0.5,0.30000001192092896,correct
152.15859985351562,179.8820343017578,164.6637420654297,7.566431045532227,152.70591735839844,177.08786010742188,168.9347381591797,5.677356243133545,12.467000007629395,105.41044616699219,48.64115905761719,32.545066833496094,10.677732467651367,111.801513671875,52.872901916503906,36.7803955078125,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,5.821536064147949,5.789503574371338,0.0,0.0,27.723434448242188,18.398216247558594,0.5,0.30000001192092896,correct
150.16552734375,178.76007080078125,164.3271942138672,6.869104862213135,161.30499267578125,178.83766174316406,170.70249938964844,4.901854515075684,12.009217262268066,105.31829833984375,48.685394287109375,32.06150817871094,7.164565086364746,116.01349639892578,55.30106735229492,40.72678756713867,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,7.388743877410889,9.842377662658691,0.0,0.0,28.59454345703125,19.183137893676758,0.47058823704719543,0.28333333134651184,correct
155.2671356201172,179.55606079101562,168.31805419921875,6.84519100189209,149.16241455078125,178.14767456054688,167.346923828125,6.211194038391113,9.718940734863281,100.84127807617188,45.662593841552734,31.3188533782959,8.77640151977539,111.29792022705078,51.52128601074219,37.521820068359375,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,6.061994552612305,7.8516154289245605,0.0,0.0,24.28891944885254,11.595271110534668,0.5,0.30000001192092896,correct
157.3389129638672,177.4253387451172,166.4700469970703,4.942281246185303,147.7550811767578,178.56112670898438,161.13653564453125,8.830026626586914,12.980032920837402,95.5495376586914,62.12385559082031,31.20804786682129,12.670072555541992,94.3637924194336,59.90938186645508,31.37539291381836,173.4125518798828,174.52503967285156,174.03912353515625,0.31007298827171326,173.87246704101562,175.7191162109375,175.14942932128906,0.5920282006263733,177.14971923828125,178.4869384765625,177.44390869140625,0.29842352867126465,177.3985137939453,178.73294067382812,178.25616455078125,0.400237500667572,5.849239349365234,2.571410655975342,1.1103193759918213,0.8160117268562317,20.086416244506836,9.191590309143066,0.48275861144065857,0.4833333194255829,correct
149.17678833007812,178.20309448242188,162.2389373779297,6.811558246612549,138.08616638183594,179.32333374023438,157.40191650390625,15.321831703186035,18.612911224365234,98.30511474609375,60.1997184753418,30.922977447509766,8.429591178894043,97.39354705810547,50.429744720458984,32.58794403076172,178.6501007080078,179.0664520263672,178.83843994140625,0.13620522618293762,173.92230224609375,175.42547607421875,174.672607421875,0.5340874195098877,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,17.602304458618164,9.795299530029297,4.1218342781066895,0.0,29.02631187438965,11.859565734863281,0.4761904776096344,0.3499999940395355,correct
143.94703674316406,178.99330139160156,163.34735107421875,6.4102783203125,142.26974487304688,166.81671142578125,157.73023986816406,7.26535177230835,23.680702209472656,97.02433013916016,45.27376937866211,24.710586547851562,13.353978157043457,99.23686218261719,37.192474365234375,26.777206420898438,177.06338500976562,179.28805541992188,177.89529418945312,0.7049494385719299,175.02993774414062,177.16387939453125,175.8629913330078,0.6129470467567444,0.0,180.0,90.0,0.0,0.0,180.0,90.0,0.0,8.016481399536133,8.334885597229004,2.8914599418640137,0.0,35.0462760925293,17.844594955444336,0.4878048896789551,0.6833333373069763,wrong
